City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Verkhniye Tatyshly,56.2912,55.8575,22.78,95,100,3.62,RU,2/5/2022 15:10,overcast clouds
1,Tezu,27.9167,96.1667,55.42,96,100,0.89,IN,2/5/2022 15:10,light rain
2,Albany,42.6001,-73.9662,17.31,75,18,1.99,US,2/5/2022 15:07,few clouds
3,El Limon,10.3059,-67.6321,80.82,50,1,1.99,VE,2/5/2022 15:10,clear sky
4,Hobart,-42.8794,147.3294,60.03,77,100,4.61,AU,2/5/2022 15:09,overcast clouds
5,Petropavlovsk-Kamchatskiy,53.0452,158.6483,18.37,84,100,11.63,RU,2/5/2022 15:07,overcast clouds
6,Leningradskiy,69.3833,178.4167,-21.35,96,8,5.66,RU,2/5/2022 15:05,clear sky
7,Tiksi,71.6872,128.8694,-20.56,98,100,7.38,RU,2/5/2022 15:10,overcast clouds
8,Xudat,41.631,48.681,38.17,72,100,13,AZ,2/5/2022 15:10,overcast clouds
9,Nigde,37.8333,34.75,18.61,91,10,2.19,TR,2/5/2022 15:10,clear sky
10,Kazanka,47.8462,32.8218,30.54,71,100,7.94,UA,2/5/2022 15:10,overcast clouds
11,Hilo,19.7297,-155.09,70.79,92,100,8.05,US,2/5/2022 15:07,light rain
12,Punta Arenas,-53.15,-70.9167,62.71,51,75,21.85,CL,2/5/2022 15:05,broken clouds
13,Qaanaaq,77.484,-69.3632,-1.62,70,81,10.56,GL,2/5/2022 15:01,broken clouds
14,Ongandjera,-17.8833,15.0667,82.67,28,86,12.5,NA,2/5/2022 15:10,overcast clouds
15,Rikitea,-23.1203,-134.9692,78.37,73,22,11.07,PF,2/5/2022 15:10,few clouds
16,Cherskiy,68.75,161.3,-32.84,96,15,1.92,RU,2/5/2022 15:06,few clouds
17,Fare,-16.7,-151.0167,80.62,70,9,15.57,PF,2/5/2022 15:08,clear sky
18,Chokwe,-24.5333,32.9833,83.84,54,90,15.64,MZ,2/5/2022 15:08,overcast clouds
19,Jamestown,42.097,-79.2353,16.3,64,100,5.01,US,2/5/2022 15:09,overcast clouds
20,Vardo,70.3705,31.1107,22.98,80,75,24.16,NO,2/5/2022 15:10,broken clouds
21,Lerwick,60.1545,-1.1494,42.8,72,100,35.72,GB,2/5/2022 15:05,overcast clouds
22,New Norfolk,-42.7826,147.0587,59.67,62,100,1.12,AU,2/5/2022 15:10,overcast clouds
23,Guerrero Negro,27.9769,-114.0611,55.36,43,0,5.23,MX,2/5/2022 15:03,clear sky
24,Dicamay,16.7561,122.0037,67.42,95,48,2.26,PH,2/5/2022 15:10,scattered clouds
25,Sharan,54.8167,54,20.08,93,100,4.41,RU,2/5/2022 15:06,overcast clouds
26,Chuzhou,32.3219,118.2978,34.32,49,87,5.48,CN,2/5/2022 15:10,overcast clouds
27,Cape Town,-33.9258,18.4232,92.12,40,66,5.01,ZA,2/5/2022 15:07,broken clouds
28,Russell,32.3502,-85.1999,36.97,64,0,10.78,US,2/5/2022 15:10,clear sky
29,Yellowknife,62.456,-114.3525,-15.59,86,100,11.01,CA,2/5/2022 15:10,overcast clouds
30,Vaini,-21.2,-175.2,75.36,100,100,8.05,TO,2/5/2022 15:05,light rain
31,Atuona,-9.8,-139.0333,78.22,77,8,19.69,PF,2/5/2022 15:10,clear sky
32,Ribeira Grande,38.5167,-28.7,64.8,68,75,12.66,PT,2/5/2022 15:06,broken clouds
33,Thompson,55.7435,-97.8558,-37.44,100,60,2.51,CA,2/5/2022 15:06,broken clouds
34,Barrow,71.2906,-156.7887,-9.38,70,100,12.66,US,2/5/2022 15:05,light snow
35,Puerto Ayora,-0.7393,-90.3518,80.56,91,46,5.99,EC,2/5/2022 15:10,scattered clouds
36,Hermanus,-34.4187,19.2345,91.9,50,38,22.95,ZA,2/5/2022 15:10,scattered clouds
37,Hastings,50.8552,0.5729,51.53,79,73,26.98,GB,2/5/2022 15:10,broken clouds
38,Khatanga,71.9667,102.5,-33.83,100,81,1.59,RU,2/5/2022 15:10,broken clouds
39,Jardim,-21.4803,-56.1381,95.18,37,36,10.02,BR,2/5/2022 15:10,scattered clouds
40,Arraial Do Cabo,-22.9661,-42.0278,87.66,62,0,12.66,BR,2/5/2022 15:10,clear sky
41,Hami,42.8,93.45,27.27,28,91,6.91,CN,2/5/2022 15:06,overcast clouds
42,Flinders,-34.5833,150.8552,68.38,67,100,8.99,AU,2/5/2022 15:06,overcast clouds
43,Kismayo,-0.3582,42.5454,79.68,78,100,16.49,SO,2/5/2022 15:04,overcast clouds
44,Pocatello,42.8713,-112.4455,12.88,85,0,5.99,US,2/5/2022 15:10,clear sky
45,Bathsheba,13.2167,-59.5167,83.01,57,20,19.57,BB,2/5/2022 15:10,few clouds
46,Bundaberg,-24.85,152.35,72.21,70,86,5.99,AU,2/5/2022 15:07,overcast clouds
47,Yakeshi,49.2833,120.7333,-7.87,100,95,4.47,CN,2/5/2022 15:10,overcast clouds
48,Kloulklubed,7.0419,134.2556,81.1,81,21,23.38,PW,2/5/2022 15:07,few clouds
49,Saldanha,-33.0117,17.9442,73.2,57,17,14.41,ZA,2/5/2022 15:10,few clouds
50,Ushuaia,-54.8,-68.3,58.62,58,100,10.63,AR,2/5/2022 15:09,overcast clouds
51,Butaritari,3.0707,172.7902,82.51,70,16,19.86,KI,2/5/2022 15:10,few clouds
52,Fort Nelson,58.8053,-122.7002,-15.03,98,46,1.81,CA,2/5/2022 15:03,scattered clouds
53,Kudahuvadhoo,2.6708,72.8944,82.08,70,86,12.5,MV,2/5/2022 15:06,overcast clouds
54,Innisfail,-17.5333,146.0333,74.61,90,99,3.87,AU,2/5/2022 15:05,moderate rain
55,Dikson,73.5069,80.5464,-18.29,99,96,3.78,RU,2/5/2022 15:06,overcast clouds
56,Cidreira,-30.1811,-50.2056,83.91,67,93,8.66,BR,2/5/2022 15:07,overcast clouds
57,Tamandare,-8.7597,-35.1047,85.17,58,65,9.35,BR,2/5/2022 15:10,broken clouds
58,Ixtapa,20.7,-105.2,68.23,87,66,1.99,MX,2/5/2022 15:01,broken clouds
59,Longyearbyen,78.2186,15.6401,10.24,67,20,26.46,SJ,2/5/2022 15:10,few clouds
60,Suzun,53.7841,82.3116,3.61,97,99,2.51,RU,2/5/2022 15:10,overcast clouds
61,East London,-33.0153,27.9116,68.59,87,100,16.51,ZA,2/5/2022 15:10,light rain
62,Abbeville,50.1,1.8333,49.95,75,90,17.05,FR,2/5/2022 15:10,overcast clouds
63,Mar Del Plata,-38.0023,-57.5575,66.22,88,100,11.99,AR,2/5/2022 15:10,overcast clouds
64,Walvis Bay,-22.9575,14.5053,72.09,67,7,9.75,NA,2/5/2022 15:09,clear sky
65,Yulara,-25.2406,130.9889,71.44,43,0,6.91,AU,2/5/2022 15:04,clear sky
66,Nikolskoye,59.7035,30.7861,25.88,91,100,12.01,RU,2/5/2022 15:05,light snow
67,Alenquer,-1.9417,-54.7383,82.74,78,93,1.28,BR,2/5/2022 15:10,overcast clouds
68,Tanout,14.9709,8.8879,78.17,7,5,20.07,NE,2/5/2022 15:10,clear sky
69,Kasangulu,-4.5911,15.1708,83.46,67,45,2.75,CD,2/5/2022 15:10,light rain
70,Codrington,-38.2667,141.9667,58.17,83,97,8.99,AU,2/5/2022 15:10,overcast clouds
71,Bereda,43.2686,-7.5406,55,66,7,6.85,ES,2/5/2022 15:05,clear sky
72,Hasaki,35.7333,140.8333,30.6,36,99,11.36,JP,2/5/2022 15:01,overcast clouds
73,Conde,-7.2597,-34.9075,85.46,62,75,10.36,BR,2/5/2022 15:10,broken clouds
74,Atar,20.5169,-13.0499,90.64,5,0,5.48,MR,2/5/2022 15:10,clear sky
75,Paamiut,61.994,-49.6678,0.21,79,96,7.09,GL,2/5/2022 15:01,overcast clouds
76,Chino Hills,33.9938,-117.7589,55.45,24,0,3,US,2/5/2022 15:09,clear sky
77,Busselton,-33.65,115.3333,72.05,78,0,5.68,AU,2/5/2022 15:10,clear sky
78,Andilamena,-17.0167,48.5833,69.19,94,100,12.21,MG,2/5/2022 15:10,moderate rain
79,Quatre Cocos,-20.2078,57.7625,80.1,81,100,15.7,MU,2/5/2022 15:01,overcast clouds
80,Otradnoye,59.7775,30.8181,25.03,91,100,12.03,RU,2/5/2022 15:10,light snow
81,Saint George,37.1041,-113.5841,39.34,54,0,0,US,2/5/2022 15:01,clear sky
82,Drayton Valley,53.2168,-114.9854,38.17,62,100,21.85,CA,2/5/2022 15:10,overcast clouds
83,Upernavik,72.7868,-56.1549,1.26,95,100,4.56,GL,2/5/2022 15:10,overcast clouds
84,Avera,33.194,-82.5271,43.48,53,40,9.48,US,2/5/2022 15:03,scattered clouds
85,Plouzane,48.3833,-4.6167,53.69,76,100,14.97,FR,2/5/2022 15:11,overcast clouds
86,Lebanon,36.2081,-86.2911,27.18,78,0,4.61,US,2/5/2022 15:06,clear sky
87,Mildura,-34.2,142.15,70.07,46,100,5.75,AU,2/5/2022 15:07,overcast clouds
88,Mayo,38.8876,-76.5119,32.23,51,0,15.99,US,2/5/2022 15:11,clear sky
89,Balykshi,47.0667,51.8667,30.2,93,75,24.61,KZ,2/5/2022 15:11,mist
90,Potosi,-19.5836,-65.7531,54.61,38,26,3.49,BO,2/5/2022 15:11,scattered clouds
91,Mahon,39.8885,4.2658,55.96,71,75,10.36,ES,2/5/2022 15:07,broken clouds
92,Tuktoyaktuk,69.4541,-133.0374,-29.18,97,63,9.35,CA,2/5/2022 15:06,broken clouds
93,Kropotkin,45.4375,40.5756,27.54,89,57,6.78,RU,2/5/2022 15:05,broken clouds
94,Gorazde,43.6669,18.9764,42.91,99,99,1.95,BA,2/5/2022 15:11,overcast clouds
95,Saint-Philippe,-21.3585,55.7679,81.99,85,100,19.55,RE,2/5/2022 15:11,light rain
96,Zagreb,45.8131,15.9775,50.22,50,0,8.05,HR,2/5/2022 15:07,clear sky
97,Sibolga,1.7427,98.7792,75.58,90,100,3.09,ID,2/5/2022 15:02,overcast clouds
98,Pa Daet,19.5049,99.9924,67.15,96,36,3.27,TH,2/5/2022 15:11,scattered clouds
99,Bredasdorp,-34.5322,20.0403,79.29,60,13,22.64,ZA,2/5/2022 15:11,few clouds
100,Tasiilaq,65.6145,-37.6368,18.9,60,100,12.24,GL,2/5/2022 15:11,overcast clouds
101,Ancud,-41.8697,-73.8203,68.23,58,4,3.6,CL,2/5/2022 15:07,clear sky
102,Geraldton,-28.7667,114.6,73.81,83,1,3.44,AU,2/5/2022 15:11,light rain
103,Kahului,20.8947,-156.47,75.85,77,9,8.99,US,2/5/2022 14:59,clear sky
104,Port Elizabeth,-33.918,25.5701,71.1,83,75,17.27,ZA,2/5/2022 15:06,broken clouds
105,Izhma,65.0083,53.9113,-7.76,100,25,3.13,RU,2/5/2022 15:06,scattered clouds
106,Skjervoy,70.0311,20.9714,32.52,66,65,24.02,NO,2/5/2022 15:11,broken clouds
107,Tavricheskoye,54.5851,73.6395,10.31,83,100,7.74,RU,2/5/2022 15:11,overcast clouds
108,Esperance,-33.8667,121.9,68.13,68,1,19.98,AU,2/5/2022 15:06,clear sky
109,Hamilton,39.1834,-84.5333,18.84,79,40,1.01,US,2/5/2022 15:06,scattered clouds
110,Dunedin,-45.8742,170.5036,51.8,73,70,4.65,NZ,2/5/2022 15:04,broken clouds
111,Ponta Do Sol,32.6667,-17.1,74.71,51,3,10.33,PT,2/5/2022 15:11,clear sky
112,Ban Nahin,18.2418,104.2122,61.32,75,72,5.06,LA,2/5/2022 15:11,broken clouds
113,Caravelas,-17.7125,-39.2481,85.41,57,15,10.85,BR,2/5/2022 15:11,few clouds
114,Saskylakh,71.9167,114.0833,-28.61,100,89,3.2,RU,2/5/2022 15:11,overcast clouds
115,Bandarbeyla,9.4942,50.8122,76.59,66,10,12.44,SO,2/5/2022 15:05,clear sky
116,Santa Cruz Del Norte,23.1539,-81.9236,77.74,77,48,10.16,CU,2/5/2022 15:11,scattered clouds
117,Bluff,-46.6,168.3333,50.09,76,26,5.12,NZ,2/5/2022 15:11,scattered clouds
118,Boyolangu,-8.1181,111.8935,76.68,84,85,2.21,ID,2/5/2022 15:11,overcast clouds
119,Kalmunai,7.4167,81.8167,76.51,77,4,10.51,LK,2/5/2022 15:11,clear sky
120,Yeppoon,-23.1333,150.7333,73.18,71,8,19.66,AU,2/5/2022 15:08,clear sky
121,Kodiak,57.79,-152.4072,36.91,75,20,5.75,US,2/5/2022 15:11,few clouds
122,Aketi,2.7388,23.7833,97.95,18,66,2.08,CD,2/5/2022 15:11,broken clouds
123,Farafangana,-22.8167,47.8333,76.96,94,100,33.33,MG,2/5/2022 15:11,heavy intensity rain
124,Nouadhibou,20.931,-17.0347,66.67,75,0,15.14,MR,2/5/2022 15:11,clear sky
125,Srednekolymsk,67.45,153.6833,-39.33,100,48,3.53,RU,2/5/2022 15:06,scattered clouds
126,Chapleau,47.8405,-83.4034,-2.58,85,82,1.92,CA,2/5/2022 15:11,broken clouds
127,Bang Len,14.0219,100.1718,87.98,56,91,3.22,TH,2/5/2022 15:11,overcast clouds
128,Gogrial,8.5332,28.1004,88.14,12,100,8.88,SS,2/5/2022 15:06,overcast clouds
129,Avarua,-21.2078,-159.775,78.85,83,20,10.36,CK,2/5/2022 15:11,few clouds
130,Nome,64.5011,-165.4064,-2.13,50,0,4.61,US,2/5/2022 15:11,clear sky
131,Ranong,9.9658,98.6348,76.57,88,28,6.76,TH,2/5/2022 15:02,scattered clouds
132,Katsuura,35.1333,140.3,35.11,36,53,5.64,JP,2/5/2022 15:11,broken clouds
133,Bengkulu,-3.8004,102.2655,74.14,96,100,4.18,ID,2/5/2022 15:01,heavy intensity rain
134,Sitka,57.0531,-135.33,40.89,87,100,10.36,US,2/5/2022 15:11,moderate rain
135,Hithadhoo,-0.6,73.0833,82.62,74,100,12.41,MV,2/5/2022 15:11,overcast clouds
136,Parker,32.7668,-97.8003,30.43,96,7,4.14,US,2/5/2022 15:11,clear sky
137,Brownfield,33.1812,-102.2744,29.7,24,0,7.83,US,2/5/2022 15:11,clear sky
138,Port Alfred,-33.5906,26.891,70.05,83,98,23.62,ZA,2/5/2022 15:11,light rain
139,Voh,-20.9667,164.7,74.91,90,34,1.81,NC,2/5/2022 15:02,scattered clouds
140,Victoria,22.2855,114.1577,61.25,81,98,1.99,HK,2/5/2022 15:08,overcast clouds
141,Baicheng,45.6167,122.8167,-4.04,88,35,3.65,CN,2/5/2022 15:11,scattered clouds
142,Bosaso,11.2842,49.1816,76.98,61,99,3.33,SO,2/5/2022 15:11,overcast clouds
143,Isangel,-19.55,169.2667,79.54,90,100,14.25,VU,2/5/2022 15:11,moderate rain
144,Mataura,-46.1927,168.8643,41.11,98,18,1.23,NZ,2/5/2022 15:10,few clouds
145,Luanda,-8.8368,13.2343,84.2,61,20,12.66,AO,2/5/2022 15:02,few clouds
146,Cabo San Lucas,22.8909,-109.9124,65.52,78,0,4.61,MX,2/5/2022 15:06,clear sky
147,Yumen,40.2833,97.2,16.54,36,100,16.49,CN,2/5/2022 15:03,overcast clouds
148,Arcata,40.8665,-124.0828,44.26,81,75,1.01,US,2/5/2022 15:11,mist
149,Labuhan,-6.8844,112.2051,79.21,88,100,8.77,ID,2/5/2022 15:06,overcast clouds
150,Nanortalik,60.1432,-45.2371,14.27,59,12,29.66,GL,2/5/2022 15:11,few clouds
151,Provideniya,64.3833,-173.3,-4.81,86,3,11.95,RU,2/5/2022 15:11,clear sky
152,Ahipara,-35.1667,173.1667,71.08,96,96,7.43,NZ,2/5/2022 15:07,overcast clouds
153,Kavaratti,10.5669,72.642,78.93,61,24,11.32,IN,2/5/2022 15:11,few clouds
154,Mehamn,71.0357,27.8492,20.26,87,82,17.02,NO,2/5/2022 15:11,broken clouds
155,Port Hedland,-20.3167,118.5667,86.05,74,98,10.36,AU,2/5/2022 15:07,overcast clouds
156,Kaitong,44.8135,123.15,-6.5,88,54,5.01,CN,2/5/2022 15:11,broken clouds
157,Bethel,41.3712,-73.414,24.49,80,75,9.22,US,2/5/2022 15:11,broken clouds
158,Kapaa,22.0752,-159.319,66.11,59,40,6.91,US,2/5/2022 15:10,scattered clouds
159,Quirinopolis,-18.4483,-50.4517,85.93,60,39,3.58,BR,2/5/2022 15:11,scattered clouds
160,Dingwall,57.5953,-4.4272,42.08,86,79,19.51,GB,2/5/2022 15:11,broken clouds
161,Bambous Virieux,-20.3428,57.7575,80.22,81,100,16.37,MU,2/5/2022 15:11,overcast clouds
162,Egvekinot,66.3167,-179.1667,-10.32,86,8,13.56,RU,2/5/2022 15:11,clear sky
163,Aykhal,66,111.5,-25.01,100,79,5.97,RU,2/5/2022 15:11,broken clouds
164,Souillac,-20.5167,57.5167,80.37,80,100,15.3,MU,2/5/2022 15:01,overcast clouds
165,Kavieng,-2.5744,150.7967,80.82,79,88,5.7,PG,2/5/2022 15:11,light rain
166,Vila Franca Do Campo,37.7167,-25.4333,63.01,75,100,11.79,PT,2/5/2022 15:11,overcast clouds
167,Nuevo Laredo,27.4763,-99.5164,39.18,65,0,0,MX,2/5/2022 15:11,clear sky
168,Inhambane,-23.865,35.3833,82.08,63,16,16.64,MZ,2/5/2022 15:11,few clouds
169,Rayadrug,14.7,76.8667,79.32,23,20,8.1,IN,2/5/2022 15:11,few clouds
170,Pangnirtung,66.1451,-65.7125,-24.02,98,100,1.88,CA,2/5/2022 15:01,overcast clouds
171,Myitkyina,25.3833,97.4,56.34,96,38,3.31,MM,2/5/2022 15:11,scattered clouds
172,Namatanai,-3.6667,152.4333,80.56,78,96,8.63,PG,2/5/2022 15:11,overcast clouds
173,Coihaique,-45.5752,-72.0662,68.61,42,0,4.61,CL,2/5/2022 15:11,clear sky
174,Kruisfontein,-34.0033,24.7314,68.88,72,85,21.68,ZA,2/5/2022 15:07,overcast clouds
175,Katobu,-4.9408,122.5276,76.05,91,90,1.97,ID,2/5/2022 15:11,overcast clouds
176,Florianopolis,-27.6146,-48.5012,91.62,71,40,3,BR,2/5/2022 15:11,scattered clouds
177,Calama,-22.4667,-68.9333,68.49,13,0,3.44,CL,2/5/2022 15:09,clear sky
178,Aquiraz,-3.9014,-38.3911,84.29,73,35,11.36,BR,2/5/2022 15:11,scattered clouds
179,Marawi,7.9986,124.2928,68.65,95,41,1.01,PH,2/5/2022 15:11,scattered clouds
180,Kommunisticheskiy,61.6789,64.4819,15.42,96,100,5.64,RU,2/5/2022 15:11,light snow
181,Itarema,-2.9248,-39.9167,85.95,63,97,15.12,BR,2/5/2022 15:11,heavy intensity rain
182,Jibuti,11.5,42.5,78.22,26,6,11.99,DJ,2/5/2022 15:08,clear sky
183,Samarai,-10.6167,150.6667,80.33,84,100,11.39,PG,2/5/2022 15:11,overcast clouds
184,Chumikan,54.7183,135.315,-0.74,74,100,12.35,RU,2/5/2022 15:11,overcast clouds
185,Grande Prairie,55.1667,-118.8027,37.33,62,92,23.71,CA,2/5/2022 15:09,overcast clouds
186,La Ronge,55.1001,-105.2842,-5.57,97,100,7.27,CA,2/5/2022 15:01,overcast clouds
187,Noshiro,40.2039,140.0242,27.57,73,100,17.56,JP,2/5/2022 15:11,light snow
188,Pokosnoye,55.5258,101.0536,24.85,91,100,11.63,RU,2/5/2022 15:11,overcast clouds
189,Elk,53.8282,22.3647,35.42,80,93,15.68,PL,2/5/2022 15:11,overcast clouds
190,Lompoc,34.6391,-120.4579,53.13,86,0,4.61,US,2/5/2022 15:02,clear sky
191,Sibut,5.718,19.0739,98.24,12,96,5.14,CF,2/5/2022 15:11,overcast clouds
192,Georgetown,5.4112,100.3354,81.9,77,40,3.44,MY,2/5/2022 15:11,light rain
193,Sambava,-14.2667,50.1667,80.65,82,100,5.28,MG,2/5/2022 15:05,light rain
194,Chokurdakh,70.6333,147.9167,-31.95,100,100,0.49,RU,2/5/2022 15:11,overcast clouds
195,Beringovskiy,63.05,179.3167,-7.44,92,89,13.4,RU,2/5/2022 15:11,overcast clouds
196,Vihti,60.417,24.3197,33.57,92,100,7,FI,2/5/2022 15:11,overcast clouds
197,Huinan,42.6225,126.2614,-4.13,93,97,4.23,CN,2/5/2022 15:11,overcast clouds
198,Lebu,-37.6167,-73.65,63.61,65,0,17.13,CL,2/5/2022 15:11,clear sky
199,Buique,-8.6231,-37.1558,87.85,29,87,6.98,BR,2/5/2022 15:11,overcast clouds
200,Jaque,7.5175,-78.1703,82.56,66,29,1.16,PA,2/5/2022 15:11,scattered clouds
201,Esna,25.2934,32.554,63.52,31,0,15.08,EG,2/5/2022 15:11,clear sky
202,Karratha,-20.7377,116.8463,85.3,73,76,4.85,AU,2/5/2022 15:03,broken clouds
203,Biloela,-24.4167,150.5,67.64,68,0,18.25,AU,2/5/2022 15:11,clear sky
204,Vao,-22.6667,167.4833,79.93,87,99,12.3,NC,2/5/2022 15:05,overcast clouds
205,Port Lincoln,-34.7333,135.8667,65.46,80,100,15.97,AU,2/5/2022 15:11,overcast clouds
206,Aksu,41.1231,80.2644,26.37,42,44,4.61,CN,2/5/2022 15:11,scattered clouds
207,Tecoanapa,16.5167,-98.75,76.8,55,2,1.12,MX,2/5/2022 15:11,clear sky
208,Torbay,47.6666,-52.7314,49.75,95,100,8.01,CA,2/5/2022 15:11,moderate rain
209,Gornorechenskiy,44.2624,135.1133,1.31,79,61,12.5,RU,2/5/2022 15:11,broken clouds
210,Fortuna,40.5982,-124.1573,43.99,95,100,0,US,2/5/2022 15:11,overcast clouds
211,Severobaykalsk,55.65,109.3167,-1.26,95,100,5.21,RU,2/5/2022 15:11,overcast clouds
212,Nador,35.174,-2.9287,66.45,55,0,10.36,MA,2/5/2022 15:07,clear sky
213,Pringsewu,-5.3582,104.9744,73.62,95,98,2.01,ID,2/5/2022 15:11,light rain
214,Chabahar,25.2919,60.643,72.3,69,15,8.03,IR,2/5/2022 15:11,few clouds
215,Raahe,64.6833,24.4833,26.69,90,100,14.47,FI,2/5/2022 15:11,overcast clouds
216,Dong Hoi,17.4833,106.6,62.02,86,100,11.45,VN,2/5/2022 15:11,overcast clouds
217,Farah,32.5,62.5,53.38,31,100,2.66,AF,2/5/2022 15:11,overcast clouds
218,Henties Bay,-22.116,14.2845,71.85,70,9,10.83,NA,2/5/2022 15:11,clear sky
