City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Krasnoselkup,RU,2022-02-05 13:30:34,65.7,82.4667,-1.07,99,74,9.31
1,Punta Arenas,CL,2022-02-05 13:27:47,-53.15,-70.9167,50.02,76,100,11.5
2,Tayu,ID,2022-02-05 13:30:34,-6.5397,111.0518,78.85,87,99,9.01
3,Chernyshevskiy,RU,2022-02-05 13:30:35,63.0128,112.4714,-21.8,100,89,2.33
4,Cape Town,ZA,2022-02-05 13:25:35,-33.9258,18.4232,88.27,40,0,4.0
5,Gat,IL,2022-02-05 13:30:35,31.61,34.7642,59.68,100,67,12.24
6,Rikitea,PF,2022-02-05 13:30:35,-23.1203,-134.9692,78.1,74,9,9.57
7,Ayan,RU,2022-02-05 13:30:36,56.45,138.1667,-2.88,70,100,15.39
8,Jackson,US,2022-02-05 13:27:53,42.4165,-122.8345,34.0,83,0,0.0
9,Alugan,PH,2022-02-05 13:30:36,12.2188,125.4808,79.7,74,94,16.04
10,Seoul,KR,2022-02-05 13:30:36,37.5683,126.9778,24.24,56,0,2.3
11,Longyearbyen,SJ,2022-02-05 13:30:36,78.2186,15.6401,12.04,62,20,25.32
12,Vaini,TO,2022-02-05 13:30:37,-21.2,-175.2,77.16,94,100,5.75
13,Lagoa,PT,2022-02-05 13:30:37,39.05,-27.9833,58.17,72,51,17.16
14,Saskylakh,RU,2022-02-05 13:30:37,71.9167,114.0833,-26.86,100,88,3.6
15,Hobart,AU,2022-02-05 13:30:37,-42.8794,147.3294,61.02,77,100,4.61
16,Funtua,NG,2022-02-05 13:30:38,11.5233,7.3081,83.19,11,50,14.94
17,Port Elizabeth,ZA,2022-02-05 13:30:38,-33.918,25.5701,70.11,88,100,18.41
18,Nemuro,JP,2022-02-05 13:30:38,43.3236,145.575,22.75,70,95,21.3
19,Qaanaaq,GL,2022-02-05 13:30:39,77.484,-69.3632,-2.6,69,71,10.8
20,Merrill,US,2022-02-05 13:30:39,45.1805,-89.6835,-1.48,77,100,0.0
21,Gouyave,GD,2022-02-05 13:30:39,12.1646,-61.7296,79.57,74,75,12.66
22,Airai,TL,2022-02-05 13:27:49,-8.9266,125.4092,61.9,91,98,1.45
23,Nueve De Julio,AR,2022-02-05 13:30:39,-35.4444,-60.8831,65.71,74,100,13.56
24,Busselton,AU,2022-02-05 13:30:40,-33.65,115.3333,68.43,80,0,7.81
25,Hasaki,JP,2022-02-05 13:30:40,35.7333,140.8333,32.4,37,99,12.53
26,Hermanus,ZA,2022-02-05 13:29:10,-34.4187,19.2345,95.9,43,7,21.43
27,Padang,ID,2022-02-05 13:30:21,-0.9492,100.3543,73.45,95,100,3.65
28,Yellowknife,CA,2022-02-05 13:28:58,62.456,-114.3525,-17.59,86,100,9.22
29,Crepy-En-Valois,FR,2022-02-05 13:30:40,49.2336,2.8881,49.96,75,11,12.62
30,Jambi,ID,2022-02-05 13:30:41,-1.6,103.6167,75.0,95,100,2.95
31,Geraldton,AU,2022-02-05 13:30:41,-28.7667,114.6,77.41,73,0,8.05
32,Ust-Kulom,RU,2022-02-05 13:30:41,61.6864,53.6902,3.04,98,51,4.36
33,Albany,US,2022-02-05 13:29:31,42.6001,-73.9662,14.61,80,21,1.01
34,Choma,ZM,2022-02-05 13:30:41,-16.8065,26.9531,71.65,83,79,5.28
35,Dingle,PH,2022-02-05 13:30:42,10.9995,122.6711,75.67,80,15,14.38
36,Puerto Colombia,CO,2022-02-05 13:30:42,10.9878,-74.9547,78.89,70,7,18.34
37,Adrar,MR,2022-02-05 13:30:42,20.5022,-10.0711,82.29,6,80,9.53
38,Upernavik,GL,2022-02-05 13:29:10,72.7868,-56.1549,-1.77,95,100,5.55
39,Ushuaia,AR,2022-02-05 13:25:46,-54.8,-68.3,58.66,41,0,23.02
40,Chapada Dos Guimaraes,BR,2022-02-05 13:30:43,-15.4606,-55.7497,76.66,70,22,3.11
41,Tocopilla,CL,2022-02-05 13:30:23,-22.092,-70.1979,72.54,64,2,8.28
42,Surat,IN,2022-02-05 13:30:43,21.1667,72.8333,76.98,44,15,2.3
43,Port Alfred,ZA,2022-02-05 13:30:43,-33.5906,26.891,69.96,83,97,22.48
44,Banepa,NP,2022-02-05 13:30:17,27.6298,85.5214,44.92,81,20,5.75
45,Dongsheng,CN,2022-02-05 13:30:43,39.8161,109.9776,14.81,38,100,5.48
46,East London,ZA,2022-02-05 13:30:44,-33.0153,27.9116,68.94,88,20,12.66
47,Esperance,AU,2022-02-05 13:30:59,-33.8667,121.9,75.04,66,0,21.52
48,Bluff,NZ,2022-02-05 13:30:59,-46.6,168.3333,49.86,76,13,4.65
49,Bambous Virieux,MU,2022-02-05 13:30:17,-20.3428,57.7575,82.65,78,40,18.41
50,Norman Wells,CA,2022-02-05 13:30:59,65.282,-126.8329,-16.22,96,88,5.17
51,Mayo,US,2022-02-05 13:31:00,38.8876,-76.5119,32.34,62,75,15.99
52,Cosala,MX,2022-02-05 13:31:00,24.4125,-106.6908,53.38,46,0,4.36
53,Puerto Ayora,EC,2022-02-05 13:31:00,-0.7393,-90.3518,74.55,95,42,3.0
54,Kapaa,US,2022-02-05 13:31:00,22.0752,-159.319,66.52,82,75,6.91
55,Tuatapere,NZ,2022-02-05 13:31:01,-46.1333,167.6833,43.5,90,5,3.33
56,Kushima,JP,2022-02-05 13:31:01,31.4583,131.2333,41.63,77,9,8.19
57,Havoysund,NO,2022-02-05 13:31:01,70.9963,24.6622,27.48,71,79,26.51
58,Kerman,IR,2022-02-05 13:31:01,30.2832,57.0788,60.66,41,75,27.63
59,Klaksvik,FO,2022-02-05 13:31:02,62.2266,-6.589,34.72,74,98,38.81
60,Puerto Rico,AR,2022-02-05 13:31:02,-26.796,-55.024,79.84,70,100,1.45
61,Sambava,MG,2022-02-05 13:31:03,-14.2667,50.1667,84.25,71,100,3.71
62,Tambo Grande,PE,2022-02-05 13:31:03,-4.9269,-80.3447,75.34,65,100,2.06
63,Kahului,US,2022-02-05 13:31:03,20.8947,-156.47,74.84,83,0,4.61
64,Gizo,SB,2022-02-05 13:31:04,-8.103,156.8419,83.05,78,100,9.55
65,Jamestown,US,2022-02-05 13:31:04,42.097,-79.2353,13.71,67,100,4.61
66,Bushehr,IR,2022-02-05 13:31:04,28.9684,50.8385,66.29,45,0,26.46
67,Mattru,SL,2022-02-05 13:31:05,7.6244,-11.8332,101.3,25,33,1.61
68,Codrington,AU,2022-02-05 13:31:05,-38.2667,141.9667,59.47,79,97,9.35
69,Hamilton,US,2022-02-05 13:28:43,39.1834,-84.5333,15.73,84,100,1.01
70,Metro,ID,2022-02-05 13:31:05,-5.1131,105.3067,75.7,88,100,3.4
71,Bredasdorp,ZA,2022-02-05 13:31:06,-34.5322,20.0403,81.28,56,7,21.74
72,Lakhnadon,IN,2022-02-05 13:31:06,22.6,79.6,62.56,21,3,6.33
73,Huadian,CN,2022-02-05 13:31:06,42.9633,126.7478,-1.37,90,100,3.98
74,La Ronge,CA,2022-02-05 13:31:06,55.1001,-105.2842,-9.15,77,100,4.61
75,Daru,PG,2022-02-05 13:31:07,-9.0763,143.2092,79.88,88,100,8.75
76,Brownwood,US,2022-02-05 13:31:07,31.7093,-98.9912,22.32,86,0,0.0
77,Dakar,SN,2022-02-05 13:30:13,14.6937,-17.4441,92.28,57,0,16.11
78,Aripuana,BR,2022-02-05 13:31:07,-9.1667,-60.6333,83.01,68,100,2.55
79,Acapulco,MX,2022-02-05 13:29:20,16.8634,-99.8901,69.62,88,20,3.44
80,Vanimo,PG,2022-02-05 13:31:07,-2.6741,141.3028,79.23,85,97,7.72
81,Castro,BR,2022-02-05 13:27:53,-24.7911,-50.0119,74.17,78,100,7.18
82,Naryan-Mar,RU,2022-02-05 13:31:08,67.6713,53.087,-9.87,98,73,8.23
83,Dhar,IN,2022-02-05 13:31:08,22.6,75.3,66.24,21,0,1.21
84,Port-Gentil,GA,2022-02-05 13:31:08,-0.7193,8.7815,87.76,66,40,10.36
85,Guerrero Negro,MX,2022-02-05 13:31:08,27.9769,-114.0611,54.48,44,0,4.99
86,Stara Zagora,BG,2022-02-05 13:31:09,42.4328,25.6419,51.46,62,5,3.89
87,Sorland,NO,2022-02-05 13:31:09,67.667,12.6934,39.06,80,95,27.58
88,Butaritari,KI,2022-02-05 13:31:09,3.0707,172.7902,82.58,72,13,19.48
89,Bilma,NE,2022-02-05 13:31:09,18.6853,12.9164,73.8,13,0,3.74
90,Saint-Philippe,RE,2022-02-05 13:31:10,-21.3585,55.7679,83.79,85,100,19.71
91,Timizart,DZ,2022-02-05 13:31:10,36.8,4.2667,60.75,64,99,5.79
92,Poum,NC,2022-02-05 13:31:10,-20.2333,164.0167,80.58,72,67,5.23
93,Mar Del Plata,AR,2022-02-05 13:31:10,-38.0023,-57.5575,66.22,86,100,15.01
94,New Norfolk,AU,2022-02-05 13:27:58,-42.7826,147.0587,60.66,63,100,1.32
95,Beba,CU,2022-02-05 13:31:26,22.4437,-79.7253,68.27,68,0,7.81
96,Trelew,AR,2022-02-05 13:31:26,-43.249,-65.3051,62.42,41,0,11.74
97,Shestakovo,RU,2022-02-05 13:31:26,56.4915,103.96,19.71,95,100,7.99
98,Asmara,ER,2022-02-05 13:27:36,15.3333,38.9333,58.75,60,25,5.1
99,Atuona,PF,2022-02-05 13:27:30,-9.8,-139.0333,78.08,75,3,19.53
100,Tasiilaq,GL,2022-02-05 13:31:27,65.6145,-37.6368,18.66,62,100,13.33
101,Pevek,RU,2022-02-05 13:31:27,69.7008,170.3133,-28.08,99,19,2.33
102,Hervey Bay,AU,2022-02-05 13:31:27,-25.2986,152.8535,72.03,67,72,23.64
103,Saint-Denis,FR,2022-02-05 13:31:27,48.9167,2.3333,52.09,58,0,4.0
104,Tuktoyaktuk,CA,2022-02-05 13:28:59,69.4541,-133.0374,-27.15,96,51,10.4
105,Provideniya,RU,2022-02-05 13:31:28,64.3833,-173.3,-4.23,86,4,11.54
106,Hithadhoo,MV,2022-02-05 13:31:28,-0.6,73.0833,82.58,74,100,13.4
107,Tura,IN,2022-02-05 13:27:06,25.5198,90.2201,53.01,84,46,2.33
108,Gambela,ET,2022-02-05 13:31:28,8.25,34.5833,99.07,16,100,10.36
109,Shimoda,JP,2022-02-05 13:31:29,34.6667,138.95,34.11,65,1,22.91
110,Karratha,AU,2022-02-05 13:30:18,-20.7377,116.8463,85.32,75,75,6.2
111,Naze,JP,2022-02-05 13:31:29,28.3667,129.4833,51.98,59,48,15.88
112,Broome,US,2022-02-05 13:29:04,42.2506,-75.833,13.17,79,20,3.0
113,Alofi,NU,2022-02-05 13:31:29,-19.0595,-169.9187,73.29,100,100,4.61
114,Saint George,US,2022-02-05 13:29:17,37.1041,-113.5841,41.34,54,0,0.0
115,Lagunas,PE,2022-02-05 13:31:30,-5.2269,-75.6753,83.86,62,70,1.59
116,Barrow,US,2022-02-05 13:31:30,71.2906,-156.7887,-7.58,71,100,8.05
117,Russell,US,2022-02-05 13:30:21,32.3502,-85.1999,33.08,79,0,10.36
118,Susehri,TR,2022-02-05 13:31:30,40.1644,38.0867,18.46,93,79,0.27
119,Mahebourg,MU,2022-02-05 13:31:30,-20.4081,57.7,82.69,78,40,18.41
120,Chegdomyn,RU,2022-02-05 13:31:31,51.1167,133.0167,-13.94,99,98,2.17
121,Tupiza,BO,2022-02-05 13:31:31,-21.45,-65.7167,64.13,27,15,3.24
122,Luanda,AO,2022-02-05 13:31:31,-8.8368,13.2343,84.2,70,40,9.22
123,Leninskoye,KZ,2022-02-05 13:31:31,41.7589,69.3864,53.53,27,26,4.7
124,Hilo,US,2022-02-05 13:31:32,19.7297,-155.09,71.26,92,100,10.36
125,San Jose,US,2022-02-05 13:28:18,37.3394,-121.895,54.21,60,0,0.0
126,Arraial Do Cabo,BR,2022-02-05 13:30:19,-22.9661,-42.0278,85.96,66,0,18.41
127,Jacmel,HT,2022-02-05 13:31:32,18.2342,-72.5347,76.84,66,33,4.05
128,Port Lincoln,AU,2022-02-05 13:30:21,-34.7333,135.8667,65.77,79,100,16.93
129,Joyabaj,GT,2022-02-05 13:31:32,14.995,-90.8061,59.85,88,92,4.92
130,Katsuura,JP,2022-02-05 13:31:33,35.1333,140.3,36.19,37,60,7.94
131,Souillac,MU,2022-02-05 13:31:33,-20.5167,57.5167,82.78,78,40,18.41
132,Ilulissat,GL,2022-02-05 13:31:33,69.2167,-51.1,6.82,51,75,10.36
133,Manggar,ID,2022-02-05 13:31:34,-2.8833,108.2667,78.96,82,90,6.42
134,Pujili,EC,2022-02-05 13:31:34,-0.95,-78.6833,54.28,87,40,2.3
135,Wuxi,CN,2022-02-05 13:31:34,31.5689,120.2886,34.95,49,91,9.75
136,San Patricio,US,2022-02-05 13:31:34,28.017,-97.5169,35.46,71,4,6.96
137,Baruun-Urt,MN,2022-02-05 13:31:50,46.6806,113.2792,0.39,91,19,7.25
138,Newport,GB,2022-02-05 13:30:21,51.5877,-2.9984,52.63,78,100,4.0
139,Launceston,AU,2022-02-05 13:31:50,-41.45,147.1667,63.61,73,100,1.01
140,Hofn,IS,2022-02-05 13:31:50,64.2539,-15.2082,28.62,61,100,9.19
141,Riviere-Au-Renard,CA,2022-02-05 13:31:50,48.9957,-64.3971,10.4,94,100,14.05
142,Ahipara,NZ,2022-02-05 13:31:51,-35.1667,173.1667,71.22,95,100,8.72
143,Caravelas,BR,2022-02-05 13:30:26,-17.7125,-39.2481,85.28,57,15,9.73
144,Bonthe,SL,2022-02-05 13:31:51,7.5264,-12.505,87.76,53,81,12.71
145,Tilichiki,RU,2022-02-05 13:31:51,60.4667,166.1,0.95,81,100,7.11
146,Yumen,CN,2022-02-05 13:31:52,40.2833,97.2,17.49,35,100,18.3
147,Yanam,IN,2022-02-05 13:31:52,16.7333,82.2167,82.8,82,92,4.34
148,Pisco,PE,2022-02-05 13:31:52,-13.7,-76.2167,68.05,83,74,4.61
149,Aberdeen,GB,2022-02-05 13:30:04,57.1437,-2.0981,48.69,66,91,17.27
150,Sobolevo,RU,2022-02-05 13:31:52,54.4299,31.8996,21.99,95,100,14.41
151,Te Anau,NZ,2022-02-05 13:31:53,-45.4167,167.7167,41.41,94,15,2.66
152,Kieta,PG,2022-02-05 13:31:53,-6.2167,155.6333,81.3,84,100,8.43
153,Luangwa,ZM,2022-02-05 13:31:53,-15.6167,30.4167,82.51,73,75,3.78
154,Victoria,HK,2022-02-05 13:30:21,22.2855,114.1577,61.32,76,97,8.01
155,Kodiak,US,2022-02-05 13:31:54,57.79,-152.4072,38.71,75,75,3.44
156,Aginskoye,RU,2022-02-05 13:31:54,51.1,114.53,-1.82,93,8,6.67
157,Nawada,IN,2022-02-05 13:31:54,24.8833,85.5333,61.09,57,0,4.68
158,Jinka,ET,2022-02-05 13:31:55,5.65,36.65,81.66,32,91,8.19
159,Saquena,PE,2022-02-05 13:31:55,-4.6667,-73.5167,82.24,71,99,2.48
160,Kuantan,MY,2022-02-05 13:31:55,3.8077,103.326,78.91,88,20,4.61
161,Ajdabiya,LY,2022-02-05 13:31:56,30.7554,20.2263,63.23,41,0,10.2
162,Hays,US,2022-02-05 13:31:56,30.0502,-98.0336,24.78,88,7,3.87
163,Pacora,PA,2022-02-05 13:31:56,9.0833,-79.2833,84.42,72,20,3.44
164,Mahibadhoo,MV,2022-02-05 13:31:56,3.7833,72.9667,81.77,70,48,13.53
165,Thompson,CA,2022-02-05 13:30:21,55.7435,-97.8558,-41.64,66,20,2.3
166,Nelson,NZ,2022-02-05 13:31:57,-41.2833,173.2833,59.29,87,100,3.0
167,Ixtapa,MX,2022-02-05 13:31:57,20.7,-105.2,66.22,88,40,0.0
168,Kavaratti,IN,2022-02-05 13:31:57,10.5669,72.642,78.8,62,32,11.88
169,Mataura,NZ,2022-02-05 13:28:59,-46.1927,168.8643,44.67,90,42,1.41
170,Kendari,ID,2022-02-05 13:31:58,-3.945,122.4989,77.0,92,81,3.62
171,Sitka,US,2022-02-05 13:31:58,57.0531,-135.33,42.69,87,100,9.22
172,Chokurdakh,RU,2022-02-05 13:31:58,70.6333,147.9167,-31.72,100,100,0.56
173,Conneaut,US,2022-02-05 13:31:58,41.9476,-80.5542,17.46,83,73,8.7
174,Maragogi,BR,2022-02-05 13:31:59,-9.0122,-35.2225,84.04,62,60,10.63
175,Svarstad,NO,2022-02-05 13:31:59,59.399,9.9698,42.94,54,100,3.0
176,Maracaibo,VE,2022-02-05 13:29:59,10.6317,-71.6406,79.18,65,9,8.03
177,Hirara,JP,2022-02-05 13:31:59,24.8,125.2833,61.18,67,100,21.25
178,Zemio,CF,2022-02-05 13:32:00,5.0314,25.1361,96.55,12,99,5.46
179,Coquimbo,CL,2022-02-05 13:31:33,-29.9533,-71.3436,65.93,77,20,2.3
180,Calama,CL,2022-02-05 13:32:15,-22.4667,-68.9333,59.49,15,0,16.11
181,Cherskiy,RU,2022-02-05 13:32:15,68.75,161.3,-32.76,97,15,2.53
182,Mandali,IQ,2022-02-05 13:32:15,33.7499,45.5541,57.83,46,91,6.85
183,Bengkulu,ID,2022-02-05 13:32:16,-3.8004,102.2655,74.52,96,100,4.07
184,Cap Malheureux,MU,2022-02-05 13:32:16,-19.9842,57.6142,82.89,78,100,8.01
185,Boda,CF,2022-02-05 13:32:16,4.3189,17.4695,96.04,9,71,7.87
186,Sisimiut,GL,2022-02-05 13:32:16,66.9395,-53.6735,0.39,88,95,15.1
187,Ribeira Grande,PT,2022-02-05 13:32:17,38.5167,-28.7,63.0,72,40,11.5
188,Sampit,ID,2022-02-05 13:32:17,-2.5333,112.95,75.24,97,100,2.13
189,Zhigansk,RU,2022-02-05 13:32:17,66.7697,123.3711,-33.75,100,100,4.52
190,Portel,BR,2022-02-05 13:32:18,-1.9356,-50.8211,80.02,78,100,3.33
191,Axim,GH,2022-02-05 13:32:18,4.8699,-2.2405,85.28,65,32,11.32
192,San Rafael,AR,2022-02-05 13:31:29,-34.6177,-68.3301,57.79,94,75,4.61
193,Vitry-Le-Francois,FR,2022-02-05 13:32:19,48.7333,4.5833,48.33,81,87,12.39
194,Along,IN,2022-02-05 13:32:19,28.1667,94.7667,48.6,98,100,2.51
